Algorithm,Train_Score,Test_Score,Overfit_Gap,Metric,Rank
GradientBoostingClassifier,0.8628301597051597,0.8622754491017964,0.0005547106033633,accuracy,1
DecisionTreeClassifier,0.8645961302211302,0.8584369722094273,0.0061591580117029,accuracy,2
AdaBoostClassifier,0.8527334152334153,0.8526024873330262,0.000130927900389,accuracy,3
SVC_RBF,0.8514665233415234,0.8487640104406572,0.0027025129008662,accuracy,4
RandomForestClassifier,0.9229499385749386,0.8447719944725933,0.0781779441023452,accuracy,5
SVC_Poly,0.8483184889434889,0.8444649163212038,0.0038535726222851,accuracy,6
BaggingClassifier,0.9229499385749386,0.8426224474128666,0.0803274911620719,accuracy,7
LinearSVC,0.8433660933660934,0.8409335175802242,0.0024325757858691,accuracy,8
ExtraTreesClassifier,0.9229883292383292,0.839091048671887,0.0838972805664421,accuracy,9
LogisticRegression,0.8429821867321867,0.8387839705204975,0.0041982162116892,accuracy,10
SGDClassifier,0.8374155405405406,0.8361738062336864,0.0012417343068541,accuracy,11
KNeighborsClassifier,0.8673986486486487,0.828650391524643,0.0387482571240056,accuracy,12
RidgeClassifier,0.8309275184275184,0.8281897742975587,0.0027377441299597,accuracy,13
PassiveAggressiveClassifier,0.8274723587223587,0.8252725318593582,0.0021998268630004,accuracy,14
GaussianNB,0.8102733415233415,0.8030093658836174,0.0072639756397241,accuracy,15
Perceptron,0.8012899262899262,0.8023952095808383,-0.001105283290912,accuracy,16
CategoricalNB,0.7953777641277642,0.7887302318440043,0.0066475322837599,accuracy,17
BernoulliNB,0.757985257985258,0.7640104406571473,-0.0060251826718893,accuracy,18
MultinomialNB,0.7139511670761671,0.7062797481959159,0.0076714188802512,accuracy,19
ComplementNB,0.6415463759213759,0.6371871641332719,0.0043592117881039,accuracy,20
